OrderNumber,OrderDate,Channel,Warehouse Code,Order Quantity,Unit Price,Unit Cost,Customer Name,Customer Email,Product Name,Channel Code,Channel Alt. Name,Channel Importance,Channel Prior Code,Delivery City
SO - 000983,2014-09-12,Wholesale,AXW291,7,5996.5,3597.9,Mylan Corp,hmurray2p@loc.gov,Product 12,WHOLE,Local,Low,SUPER,"Kharkov, Ukraine"
SO - 000984,2014-09-12,Wholesale,NXH382,8,1172.5,926.2750000000001,Zoonder Group,lboydnj@forbes.com,Product 13,WHOLE,Local,Low,SUPER,"Málaga, Spain"
SO - 000985,2014-09-12,Distributor,AXW291,6,207.70000000000002,153.698,Aimbo Corp,criveramf@mysql.com,Product 4,DIST,Regional,Mid,REGIONS,"MINSK, Belarus"
SO - 000986,2014-09-12,Wholesale,AXW291,6,1085.4,868.3200000000002,Aldi Ltd,fcampbell80@360.cn,Product 6,WHOLE,Local,Low,SUPER,"ZAGREB, Croatia"
SO - 000987,2014-09-12,Distributor,GUT930,9,964.8000000000001,627.1200000000001,Golden Corp,kmoreno34@ca.gov,Product 14,DIST,Regional,Mid,REGIONS,"Sevilla, Spain"
SO - 000988,2014-09-12,Distributor,GUT930,8,3832.4,3142.5679999999998,Twimbo Company,halvarezm@stanford.edu,Product 13,DIST,Regional,Mid,REGIONS,"Valencia, Spain"
SO - 000989,2014-09-13,Distributor,NXH382,6,1125.6000000000001,754.1520000000002,EMD Group,gramirez2k@xrea.com,Product 7,DIST,Regional,Mid,REGIONS,"Essen, Germany"
SO - 000990,2014-09-13,Wholesale,AXW291,5,1065.3,649.833,Sanum-Kehl Group,pwells2x@zimbio.com,Product 9,WHOLE,Local,Low,SUPER,"Hamburg, Germany"
SO - 000991,2014-09-13,Distributor,AXW291,11,6197.5,4214.3,Tambee Company,hturnerw@answers.com,Product 3,DIST,Regional,Mid,REGIONS,"Napoli (Naples), Italy"
SO - 000992,2014-09-13,Export,AXW291,7,3912.8,2778.088,Golden Corp,kmoreno34@ca.gov,Product 15,EXP,International,High,INTL,"LONDON, UK"
SO - 000993,2014-09-13,Wholesale,NXH382,9,247.9,185.925,Tagfeed Ltd,srichardson8l@ucla.edu,Product 4,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 000994,2014-09-13,Distributor,FLR025,7,1038.5,789.26,Zoomzone Corp,kwheeler2h@army.mil,Product 1,DIST,Regional,Mid,REGIONS,"SARAJEVO, Bosnia"
SO - 000995,2014-09-13,Wholesale,AXW291,7,1098.8,604.34,Cadila Ltd,joliver2c@usda.gov,Product 5,WHOLE,Local,Low,SUPER,"Dnepropetrovsk, Ukraine"
SO - 000996,2014-09-13,Distributor,AXW291,6,1273.0,814.72,WOONSOCKET Corp,ejordan2g@nba.com,Product 10,DIST,Regional,Mid,REGIONS,"Barcelona, Spain"
SO - 000997,2014-09-13,Distributor,FLR025,11,268.0,160.79999999999998,Epic Group,sruizd@wikia.com,Product 6,DIST,Regional,Mid,REGIONS,"Hannover, Germany"
SO - 000998,2014-09-14,Wholesale,AXW291,9,3852.5,2157.4,General Company,mjones2v@omniture.com,Product 10,WHOLE,Local,Low,SUPER,"WIEN (Vienna), Austria"
SO - 000999,2014-09-14,Export,AXW291,9,1876.0,900.48,Voolith Ltd,ddayqi@amazon.co.jp,Product 12,EXP,International,High,INTL,"Zaporozhye, Ukraine"
SO - 0001000,2014-09-14,Wholesale,AXW291,5,1286.4,887.616,Skyvu Group,cmontgomeryn@twitpic.com,Product 11,WHOLE,Local,Low,SUPER,"Odessa, Ukraine"
SO - 0001001,2014-09-14,Export,AXW291,8,174.20000000000002,101.036,CLINIQUE Ltd,jthompson1e@nba.com,Product 3,EXP,International,High,INTL,"Napoli (Naples), Italy"
SO - 0001002,2014-09-14,Distributor,FLR025,11,5259.5,4102.41,Zoonder Group,lboydnj@forbes.com,Product 1,DIST,Regional,Mid,REGIONS,"OSLO, Norway"
SO - 0001003,2014-09-14,Distributor,GUT930,5,6512.400000000001,5144.796,Skajo Ltd,vwatkins8z@unblog.fr,Product 4,DIST,Regional,Mid,REGIONS,"Leeds, UK"
SO - 0001004,2014-09-14,Wholesale,GUT930,8,1701.8,1021.0799999999999,Lazzy Group,ewright29@theatlantic.com,Product 3,WHOLE,Local,Low,SUPER,"STOCKHOLM, Sweden"
SO - 0001005,2014-09-14,Wholesale,AXW291,12,3832.4,2682.68,Browsebug Company,jmedina4n@tumblr.com,Product 15,WHOLE,Local,Low,SUPER,"Hamburg, Germany"
SO - 0001006,2014-09-14,Distributor,NXH382,12,1775.5,923.26,Nlounge Ltd,fromero4g@behance.net,Product 3,DIST,Regional,Mid,REGIONS,"Sheffield, UK"
SO - 0001007,2014-09-14,Distributor,AXW291,8,1922.9,865.3050000000001,Bath Group,cparker3z@state.tx.us,Product 10,DIST,Regional,Mid,REGIONS,"MADRID, Spain"
SO - 0001008,2014-09-14,Distributor,NXH382,12,891.1,490.1050000000001,Skiptube Ltd,jmcdonaldbb@disqus.com,Product 14,DIST,Regional,Mid,REGIONS,"VILNIUS, Lithuania"
SO - 0001009,2014-09-15,Wholesale,NXH382,10,3289.7000000000003,1875.129,Aimbo Corp,criveramf@mysql.com,Product 5,WHOLE,Local,Low,SUPER,"Zaragoza, Spain"
SO - 0001010,2014-09-15,Wholesale,AXW291,9,1078.7,593.2850000000001,Mycone Ltd,jcruz2p@php.net,Product 4,WHOLE,Local,Low,SUPER,"München (Munich), Germany"
SO - 0001011,2014-09-15,Distributor,FLR025,10,3886.0,2720.2,Alembic Ltd,bcooper41@guardian.co.uk,Product 12,DIST,Regional,Mid,REGIONS,"Hannover, Germany"
SO - 0001012,2014-09-15,Distributor,GUT930,8,1681.7,1143.556,Mydo Corp,rramoshq@jugem.jp,Product 12,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 0001013,2014-09-15,Wholesale,NXH382,6,1065.3,852.24,Kare Corp,pfreeman2d@edublogs.org,Product 6,WHOLE,Local,Low,SUPER,"Zaragoza, Spain"
SO - 0001014,2014-09-15,Wholesale,AXW291,11,3912.8,3286.752,Organon Corp,cwillis1c@theatlantic.com,Product 3,WHOLE,Local,Low,SUPER,"ZAGREB, Croatia"
SO - 0001015,2014-09-15,Wholesale,AXW291,12,3819.0,2520.54,Zooxo Ltd,hmoore3c@privacy.gov.au,Product 9,WHOLE,Local,Low,SUPER,"Milano (Milan), Italy"
SO - 0001016,2014-09-15,Distributor,GUT930,7,1025.1000000000001,758.5740000000001,Janyx Group,earnold59@epa.gov,Product 2,DIST,Regional,Mid,REGIONS,"Kryvy Rig, Ukraine"
SO - 0001017,2014-09-15,Wholesale,GUT930,12,3202.6,1601.3,Shuffledri Group,vlittle3@wordpress.com,Product 5,WHOLE,Local,Low,SUPER,"Valencia, Spain"
SO - 0001018,2014-09-15,Distributor,AXW291,6,5306.400000000001,2440.9440000000004,Skidoo Company,cmiller1e@statcounter.com,Product 13,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 0001019,2014-09-15,Distributor,GUT930,5,1849.2,1331.424,Roomm Company,hbishop6d@goodreads.com,Product 11,DIST,Regional,Mid,REGIONS,"KISHINEV, Moldova"
SO - 0001020,2014-09-15,Distributor,NXH382,10,194.3,137.953,Omba Group,fbryant5n@alibaba.com,Product 7,DIST,Regional,Mid,REGIONS,"Dortmund, Germany"
SO - 0001021,2014-09-15,Wholesale,AXW291,6,1051.9,757.368,Army Group,aellis34@tiny.cc,Product 9,WHOLE,Local,Low,SUPER,"KIEV, Ukraine"
SO - 0001022,2014-09-15,Export,AXW291,7,1809.0,1537.6499999999999,Nlounge Ltd,fromero4g@behance.net,Product 4,EXP,International,High,INTL,"WARSZAWA (Warsaw), Poland"
SO - 0001023,2014-09-16,Distributor,AXW291,5,214.4,130.784,NCS Group,nandersonqk@blogspot.com,Product 1,DIST,Regional,Mid,REGIONS,"BUCURESTI (Bucharest), Romania"
SO - 0001024,2014-09-16,Wholesale,AXW291,12,3530.9,2577.557,Tambee Company,hturnerw@answers.com,Product 4,WHOLE,Local,Low,SUPER,"ROMA, Italy"
SO - 0001025,2014-09-16,Distributor,GUT930,7,1038.5,810.03,Zooveo Company,jevans0@guardian.co.uk,Product 15,DIST,Regional,Mid,REGIONS,"Valencia, Spain"
SO - 0001026,2014-09-16,Export,FLR025,5,3470.6,1561.77,Browsetype Corp,fbutlerco@1und1.de,Product 1,EXP,International,High,INTL,"Mykolaiv, Ukraine"
SO - 0001027,2014-09-16,Wholesale,AXW291,6,2659.9,2154.5190000000002,Camido Company,alopez2b@vistaprint.com,Product 13,WHOLE,Local,Low,SUPER,"Barcelona, Spain"
SO - 0001028,2014-09-16,Distributor,AXW291,7,1118.9,637.773,Remedy Ltd,gray5n@bravesites.com,Product 2,DIST,Regional,Mid,REGIONS,"Birmingham, UK"
SO - 0001029,2014-09-16,Distributor,NXH382,8,3892.7000000000003,2257.766,Pacific Ltd,pkennedyt@amazon.co.uk,Product 11,DIST,Regional,Mid,REGIONS,"Bremen, Germany"
SO - 0001030,2014-09-16,Export,GUT930,12,2003.3,921.518,Shuffledri Group,vlittle3@wordpress.com,Product 5,EXP,International,High,INTL,"Lvov, Ukraine"
SO - 0001031,2014-09-16,Distributor,AXW291,11,998.3000000000001,788.657,Jaxbean Group,jwilliamsonpk@eventbrite.com,Product 14,DIST,Regional,Mid,REGIONS,"Milano (Milan), Italy"
SO - 0001032,2014-09-17,Distributor,NXH382,9,2546.0,1654.9,Wordpedia Ltd,kmurray1y@go.com,Product 1,DIST,Regional,Mid,REGIONS,"HELSINKI, Finland"
SO - 0001033,2014-09-17,Wholesale,AXW291,9,2552.7000000000003,2093.214,Vimbo Company,srice31@exblog.jp,Product 9,WHOLE,Local,Low,SUPER,"KIEV, Ukraine"
SO - 0001034,2014-09-17,Export,AXW291,5,3839.1,2610.588,Zoonoodle Ltd,jphillipsj2@imgur.com,Product 8,EXP,International,High,INTL,"Hamburg, Germany"
SO - 0001035,2014-09-17,Wholesale,FLR025,11,6076.900000000001,4071.5230000000006,Devpoint Group,lsanchez5d@umich.edu,Product 14,WHOLE,Local,Low,SUPER,"Mykolaiv, Ukraine"
SO - 0001036,2014-09-17,Distributor,NXH382,9,1051.9,462.83600000000007,Organon Corp,cwillis1c@theatlantic.com,Product 7,DIST,Regional,Mid,REGIONS,"LISBOA (Lisbon), Portugal"
SO - 0001037,2014-09-17,Wholesale,NXH382,7,1132.3,577.473,Yombu Corp,dfox1t@reuters.com,Product 13,WHOLE,Local,Low,SUPER,"Düsseldorf, Germany"
SO - 0001038,2014-09-18,Wholesale,FLR025,10,2961.4,1184.5600000000002,Linkbuzz Ltd,bsimsla@icio.us,Product 13,WHOLE,Local,Low,SUPER,"KOBENHAVN (Copenhagen), Denmark"
SO - 0001039,2014-09-18,Wholesale,AXW291,7,3396.9,2140.047,Mydeo Ltd,sjohnstonjs@deliciousdays.com,Product 2,WHOLE,Local,Low,SUPER,"Milano (Milan), Italy"
SO - 0001040,2014-09-18,Export,GUT930,5,5728.5,3322.5299999999997,Liberty Group,gperez2a@fda.gov,Product 9,EXP,International,High,INTL,"Genova, Italy"
SO - 0001041,2014-09-18,Distributor,GUT930,12,2224.4,1401.372,Deseret Group,grobinson3g@sun.com,Product 8,DIST,Regional,Mid,REGIONS,"Palermo, Italy"
SO - 0001042,2014-09-18,Wholesale,FLR025,8,3986.5,1674.33,Chatterbri Ltd,smiller24@biglobe.ne.jp,Product 12,WHOLE,Local,Low,SUPER,"OSLO, Norway"
SO - 0001043,2014-09-18,Wholesale,AXW291,6,5681.6,2613.536,Zoonoodle Ltd,jphillipsj2@imgur.com,Product 7,WHOLE,Local,Low,SUPER,"Zaporozhye, Ukraine"
SO - 0001044,2014-09-19,Distributor,AXW291,9,5272.900000000001,3005.553,Mylan Corp,hmurray2p@loc.gov,Product 15,DIST,Regional,Mid,REGIONS,"ROMA, Italy"
SO - 0001045,2014-09-19,Export,NXH382,12,1125.6000000000001,529.032,Lazzy Group,ewright29@theatlantic.com,Product 3,EXP,International,High,INTL,"Málaga, Spain"
SO - 0001046,2014-09-19,Distributor,AXW291,6,690.1,400.258,Avavee Group,joliver1z@unesco.org,Product 11,DIST,Regional,Mid,REGIONS,"WARSZAWA (Warsaw), Poland"
SO - 0001047,2014-09-19,Wholesale,AXW291,9,2546.0,1502.1399999999999,H Ltd,pgonzales7y@youku.com,Product 11,WHOLE,Local,Low,SUPER,"München (Munich), Germany"
SO - 0001048,2014-09-19,Distributor,GUT930,9,3035.1,2276.325,Avavee Group,joliver1z@unesco.org,Product 11,DIST,Regional,Mid,REGIONS,"Sevilla, Spain"
SO - 0001049,2014-09-19,Distributor,AXW291,7,4006.6,2444.026,Walgreen Corp,aparker1l@pcworld.com,Product 8,DIST,Regional,Mid,REGIONS,"Köln (Cologne), Germany"
SO - 0001050,2014-09-20,Export,GUT930,10,3892.7000000000003,2179.9120000000003,GOOD Ltd,dhanson5@com.com,Product 15,EXP,International,High,INTL,"STOCKHOLM, Sweden"
SO - 0001051,2014-09-20,Wholesale,FLR025,6,2566.1,1334.372,Zooveo Company,jevans0@guardian.co.uk,Product 13,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 0001052,2014-09-20,Export,GUT930,5,1333.3,786.6469999999999,Realbuzz Ltd,gandrews39@nifty.com,Product 3,EXP,International,High,INTL,"Valencia, Spain"
SO - 0001053,2014-09-20,Distributor,FLR025,7,1051.9,452.317,Brainspher Ltd,hfowler6h@xinhuanet.com,Product 10,DIST,Regional,Mid,REGIONS,"Mykolaiv, Ukraine"
SO - 0001054,2014-09-20,Distributor,NXH382,10,3946.3,3314.892,Fivebridge Ltd,vmarshall1s@freewebs.com,Product 5,DIST,Regional,Mid,REGIONS,"Dortmund, Germany"
SO - 0001055,2014-09-20,Distributor,AXW291,8,1118.9,593.017,Vinte Group,randerson1k@mozilla.com,Product 14,DIST,Regional,Mid,REGIONS,"ZAGREB, Croatia"
SO - 0001056,2014-09-20,Distributor,NXH382,5,2881.0,1325.26,GOOD Ltd,dhanson5@com.com,Product 12,DIST,Regional,Mid,REGIONS,"Rotterdam, Netherlands"
SO - 0001057,2014-09-21,Export,GUT930,12,2224.4,1890.74,Thoughtmix Ltd,ssanchez5k@netvibes.com,Product 6,EXP,International,High,INTL,"AMSTERDAM, Netherlands"
SO - 0001058,2014-09-21,Wholesale,AXW291,6,1011.7,586.786,SUPERVALU Ltd,pbowman2q@usa.gov,Product 2,WHOLE,Local,Low,SUPER,"Marseille, France"
SO - 0001059,2014-09-21,Wholesale,AXW291,11,167.5,123.95,Jaxbean Group,jwilliamsonpk@eventbrite.com,Product 10,WHOLE,Local,Low,SUPER,"ROMA, Italy"
SO - 0001060,2014-09-21,Wholesale,AXW291,12,1139.0,740.35,Browsetype Corp,fbutlerco@1und1.de,Product 2,WHOLE,Local,Low,SUPER,"MADRID, Spain"
SO - 0001061,2014-09-21,Wholesale,AXW291,5,167.5,110.55000000000001,Skyvu Group,cmontgomeryn@twitpic.com,Product 11,WHOLE,Local,Low,SUPER,"Odessa, Ukraine"
SO - 0001062,2014-09-21,Wholesale,AXW291,8,864.3000000000001,553.152,Bath Group,cparker3z@state.tx.us,Product 5,WHOLE,Local,Low,SUPER,"Zaporozhye, Ukraine"
SO - 0001063,2014-09-21,Wholesale,AXW291,12,2914.5,2477.325,Alembic Ltd,bcooper41@guardian.co.uk,Product 2,WHOLE,Local,Low,SUPER,"Köln (Cologne), Germany"
SO - 0001064,2014-09-22,Distributor,GUT930,5,5293.0,2858.2200000000003,Nlounge Ltd,fromero4g@behance.net,Product 10,DIST,Regional,Mid,REGIONS,"Palermo, Italy"
SO - 0001065,2014-09-22,Export,AXW291,6,924.6,406.824,Cogidoo Company,mcarrolli3@foxnews.com,Product 9,EXP,International,High,INTL,"BEOGRAD (Belgrade), Serbia"
SO - 0001066,2014-09-22,Wholesale,AXW291,6,884.4,619.0799999999999,Natures Group,dbishopcy@nasa.gov,Product 9,WHOLE,Local,Low,SUPER,"Lódz, Poland"
SO - 0001067,2014-09-22,Distributor,AXW291,7,2458.9,1819.586,Realbridge Corp,sross1f@xrea.com,Product 13,DIST,Regional,Mid,REGIONS,"WARSZAWA (Warsaw), Poland"
SO - 0001068,2014-09-22,Export,FLR025,11,924.6,656.466,Fatz Group,fedwards4w@latimes.com,Product 15,EXP,International,High,INTL,"OSLO, Norway"
SO - 0001069,2014-09-22,Wholesale,AXW291,12,6344.900000000001,3235.8990000000003,Geiss Company,lharrison3v@eepurl.com,Product 4,WHOLE,Local,Low,SUPER,"SOFIA, Bulgaria"
SO - 0001070,2014-09-22,Distributor,AXW291,5,3932.9,2910.346,General Company,mjones2v@omniture.com,Product 3,DIST,Regional,Mid,REGIONS,"ROMA, Italy"
SO - 0001071,2014-09-23,Export,NXH382,10,1112.2,500.49,Browsebug Company,jmedina4n@tumblr.com,Product 11,EXP,International,High,INTL,"Poznan, Poland"
SO - 0001072,2014-09-23,Export,NXH382,12,904.5,370.84499999999997,Revitol Company,aramos9w@php.net,Product 13,EXP,International,High,INTL,"Glasgow, UK"
SO - 0001073,2014-09-23,Wholesale,AXW291,8,1165.8,524.61,Revitol Company,aramos9w@php.net,Product 5,WHOLE,Local,Low,SUPER,"München (Munich), Germany"
SO - 0001074,2014-09-23,Export,NXH382,10,174.20000000000002,116.71400000000001,Cogilith Group,bnelson17@parallels.com,Product 13,EXP,International,High,INTL,"VILNIUS, Lithuania"
SO - 0001075,2014-09-23,Wholesale,NXH382,11,2378.5,1379.53,Talane Group,ajacobs49@ow.ly,Product 12,WHOLE,Local,Low,SUPER,"Málaga, Spain"
SO - 0001076,2014-09-23,Wholesale,FLR025,9,1025.1000000000001,850.8330000000001,Valeant Corp,bbowman1j@phpbb.com,Product 6,WHOLE,Local,Low,SUPER,"OSLO, Norway"
SO - 0001077,2014-09-23,Wholesale,AXW291,8,3839.1,2034.723,Devpoint Group,lsanchez5d@umich.edu,Product 9,WHOLE,Local,Low,SUPER,"PRAHA (Prague), Czech Republic"
SO - 0001078,2014-09-23,Distributor,AXW291,11,1031.8,650.034,Realbridge Corp,sross1f@xrea.com,Product 6,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 0001079,2014-09-23,Wholesale,FLR025,11,1005.0,623.1,Mita Corp,rfoxlk@slideshare.net,Product 8,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 0001080,2014-09-24,Distributor,FLR025,7,3886.0,2215.02,Buzzbean Group,brodriguezmw@google.co.uk,Product 8,DIST,Regional,Mid,REGIONS,"SARAJEVO, Bosnia"
SO - 0001081,2014-09-24,Distributor,GUT930,12,1125.6000000000001,574.056,Chatterbri Ltd,smiller24@biglobe.ne.jp,Product 9,DIST,Regional,Mid,REGIONS,"Salonika, Greece"
SO - 0001082,2014-09-24,Distributor,NXH382,7,3899.4,1832.7179999999998,Topco Company,phenry4a@samsung.com,Product 12,DIST,Regional,Mid,REGIONS,"Bremen, Germany"
SO - 0001083,2014-09-24,Export,GUT930,6,1842.5,976.5250000000001,Accord Group,egraham2o@nsw.gov.au,Product 5,EXP,International,High,INTL,"AMSTERDAM, Netherlands"
SO - 0001084,2014-09-24,Distributor,AXW291,7,201.0,86.42999999999999,Wordtune Company,ssnyder4l@cafepress.com,Product 4,DIST,Regional,Mid,REGIONS,"Zaporozhye, Ukraine"
SO - 0001085,2014-09-24,Wholesale,NXH382,11,1768.8,707.52,Mydeo Ltd,sjohnstonjs@deliciousdays.com,Product 13,WHOLE,Local,Low,SUPER,"Düsseldorf, Germany"
SO - 0001086,2014-09-24,Wholesale,NXH382,5,5996.5,3777.795,Livepath Corp,tdavis1v@state.gov,Product 4,WHOLE,Local,Low,SUPER,"Zaragoza, Spain"
SO - 0001087,2014-09-24,Export,NXH382,10,2525.9,1667.094,American Corp,ecollinsd1@seesaa.net,Product 3,EXP,International,High,INTL,"Sheffield, UK"
SO - 0001088,2014-09-24,Distributor,AXW291,12,1005.0,562.8000000000001,Linklinks Ltd,kjones2g@walmart.com,Product 3,DIST,Regional,Mid,REGIONS,"WARSZAWA (Warsaw), Poland"
SO - 0001089,2014-09-24,Wholesale,NXH382,7,944.7,377.88000000000005,Mylan Corp,hmurray2p@loc.gov,Product 4,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 0001090,2014-09-24,Export,GUT930,10,1681.7,924.9350000000001,Viva Ltd,wyoungoo@ucla.edu,Product 3,EXP,International,High,INTL,"Genova, Italy"
SO - 0001091,2014-09-25,Wholesale,FLR025,5,180.9,151.956,Blogtags Ltd,rscott2f@printfriendly.com,Product 8,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 0001092,2014-09-25,Wholesale,NXH382,10,1896.1000000000001,1592.7240000000002,Oba Company,rnichols24@plala.or.jp,Product 15,WHOLE,Local,Low,SUPER,"LISBOA (Lisbon), Portugal"
SO - 0001093,2014-09-25,Wholesale,NXH382,12,804.0,410.04,Zoomzone Corp,kwheeler2h@army.mil,Product 6,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 0001094,2014-09-25,Wholesale,NXH382,7,1112.2,778.54,EMD Group,gramirez2k@xrea.com,Product 5,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 0001095,2014-09-25,Wholesale,GUT930,7,971.5,437.175,H Ltd,pgonzales7y@youku.com,Product 11,WHOLE,Local,Low,SUPER,"Lvov, Ukraine"
SO - 0001096,2014-09-25,Export,NXH382,11,2465.6,1380.736,Vimbo Company,srice31@exblog.jp,Product 4,EXP,International,High,INTL,"Essen, Germany"
SO - 0001097,2014-09-25,Wholesale,GUT930,6,2659.9,1915.128,Accord Group,egraham2o@nsw.gov.au,Product 11,WHOLE,Local,Low,SUPER,"AMSTERDAM, Netherlands"
SO - 0001098,2014-09-26,Wholesale,AXW291,11,1675.0,1155.75,Golden Corp,kmoreno34@ca.gov,Product 5,WHOLE,Local,Low,SUPER,"WARSZAWA (Warsaw), Poland"
SO - 0001099,2014-09-26,Wholesale,AXW291,8,6150.6,3505.842,NCS Group,nandersonqk@blogspot.com,Product 1,WHOLE,Local,Low,SUPER,"Donetsk, Ukraine"
SO - 0001100,2014-09-26,Distributor,GUT930,12,5306.400000000001,2387.88,Dazzlesphe Corp,mpalmera6@census.gov,Product 15,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 0001101,2014-09-26,Wholesale,NXH382,6,3758.7000000000003,3082.134,Centizu Company,sgarcia9k@myspace.com,Product 5,WHOLE,Local,Low,SUPER,"Sheffield, UK"
SO - 0001102,2014-09-26,Wholesale,NXH382,5,2291.4,1603.98,Johnson Ltd,rrussell6p@multiply.com,Product 11,WHOLE,Local,Low,SUPER,"Málaga, Spain"
SO - 0001103,2014-09-26,Distributor,AXW291,6,5748.6,3564.132,Geiss Company,lharrison3v@eepurl.com,Product 15,DIST,Regional,Mid,REGIONS,"Torino (Turin), Italy"
SO - 0001104,2014-09-26,Wholesale,FLR025,11,1909.5,1336.6499999999999,Cogilith Group,bnelson17@parallels.com,Product 6,WHOLE,Local,Low,SUPER,"Mykolaiv, Ukraine"
SO - 0001105,2014-09-26,Distributor,GUT930,5,3892.7000000000003,3308.795,Topco Company,phenry4a@samsung.com,Product 6,DIST,Regional,Mid,REGIONS,"Salonika, Greece"
SO - 0001106,2014-09-26,Wholesale,FLR025,12,1118.9,749.6630000000001,Jabbercube Corp,dkennedyaj@intel.com,Product 7,WHOLE,Local,Low,SUPER,"OSLO, Norway"
SO - 0001107,2014-09-26,Distributor,AXW291,9,3999.9,2559.936,CARDINAL Group,emarshall1o@multiply.com,Product 11,DIST,Regional,Mid,REGIONS,"Marseille, France"
SO - 0001108,2014-09-27,Wholesale,NXH382,6,1782.2,873.278,Ozu Ltd,rburns9i@usda.gov,Product 4,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 0001109,2014-09-27,Distributor,AXW291,11,1072.0,707.52,Rochester Group,ksmith4t@blinklist.com,Product 14,DIST,Regional,Mid,REGIONS,"Donetsk, Ukraine"
SO - 0001110,2014-09-27,Wholesale,AXW291,11,917.9,559.919,Tambee Company,hturnerw@answers.com,Product 12,WHOLE,Local,Low,SUPER,"PARIS, France"
SO - 0001111,2014-09-27,Wholesale,NXH382,5,5252.8,2836.512,WOCKHARDT Group,mcarter8x@feedburner.com,Product 7,WHOLE,Local,Low,SUPER,"Bremen, Germany"
SO - 0001112,2014-09-27,Distributor,GUT930,6,6505.7,5399.731,US Ltd,astone14@shareasale.com,Product 2,DIST,Regional,Mid,REGIONS,"Leeds, UK"
SO - 0001113,2014-09-27,Wholesale,NXH382,11,3390.2000000000003,1932.414,Oozz Group,fcox6@soundcloud.com,Product 3,WHOLE,Local,Low,SUPER,"HELSINKI, Finland"
SO - 0001114,2014-09-27,Export,NXH382,11,221.1,108.339,Fivebridge Ltd,vmarshall1s@freewebs.com,Product 4,EXP,International,High,INTL,"Poznan, Poland"
SO - 0001115,2014-09-27,Wholesale,NXH382,12,3993.2000000000003,3034.8320000000003,Wordtune Company,ssnyder4l@cafepress.com,Product 15,WHOLE,Local,Low,SUPER,"Dortmund, Germany"
SO - 0001116,2014-09-27,Wholesale,FLR025,8,2519.2000000000003,1612.2880000000002,Pixoboo Corp,gpalmer43@hexun.com,Product 1,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 0001117,2014-09-28,Wholesale,AXW291,12,3953.0,2964.75,Tagfeed Ltd,srichardson8l@ucla.edu,Product 5,WHOLE,Local,Low,SUPER,"ROMA, Italy"
SO - 0001118,2014-09-28,Wholesale,NXH382,11,1092.1000000000001,840.9170000000001,Jaxbean Group,jwilliamsonpk@eventbrite.com,Product 11,WHOLE,Local,Low,SUPER,"Düsseldorf, Germany"
SO - 0001119,2014-09-28,Wholesale,AXW291,6,5835.7,4726.917,Dynazzy Company,ahansoni9@acquirethisname.com,Product 5,WHOLE,Local,Low,SUPER,"Milano (Milan), Italy"
SO - 0001120,2014-09-28,Wholesale,AXW291,6,1701.8,1276.35,Quaxo Ltd,jgray33@blogtalkradio.com,Product 5,WHOLE,Local,Low,SUPER,"SOFIA, Bulgaria"
SO - 0001121,2014-09-28,Distributor,AXW291,6,6117.1,4343.141,Ascend Ltd,wwilliamson1g@about.me,Product 3,DIST,Regional,Mid,REGIONS,"ROMA, Italy"
SO - 0001122,2014-09-28,Wholesale,FLR025,12,1829.1000000000001,1188.9150000000002,Bath Group,cparker3z@state.tx.us,Product 5,WHOLE,Local,Low,SUPER,"Sheffield, UK"
SO - 0001123,2014-09-28,Distributor,FLR025,12,3932.9,2477.727,Wise Company,bmatthewsm@dot.gov,Product 8,DIST,Regional,Mid,REGIONS,"KOBENHAVN (Copenhagen), Denmark"
SO - 0001124,2014-09-28,Wholesale,AXW291,11,1695.1000000000001,1101.815,Twinte Group,ebellpi@yandex.ru,Product 14,WHOLE,Local,Low,SUPER,"PRAHA (Prague), Czech Republic"
SO - 0001125,2014-09-28,Wholesale,GUT930,8,180.9,130.248,Wordpedia Ltd,kmurray1y@go.com,Product 1,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 0001126,2014-09-29,Wholesale,AXW291,10,877.7,631.944,Revitol Company,aramos9w@php.net,Product 12,WHOLE,Local,Low,SUPER,"Birmingham, UK"
SO - 0001127,2014-09-29,Distributor,AXW291,9,2646.5,1984.875,Jaxbean Group,jwilliamsonpk@eventbrite.com,Product 2,DIST,Regional,Mid,REGIONS,"Barcelona, Spain"
SO - 0001128,2014-09-29,Distributor,AXW291,7,5132.2,2206.846,NCS Group,nandersonqk@blogspot.com,Product 10,DIST,Regional,Mid,REGIONS,"Kharkov, Ukraine"
